Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.2492,0.4000,0.988065,0.833762,0.867249,0.238664,38.5840,43.5937,28.296212,29.304155,29.304155
0.2502,0.4000,0.983855,0.833762,0.867249,0.238664,38.5840,43.7695,28.288985,29.301188,29.301188
0.2517,0.4000,0.981392,0.833762,0.867249,0.238664,38.5840,43.8574,28.281775,29.298234,29.298234
0.2524,0.4000,0.978931,0.833762,0.867249,0.238664,38.5840,43.9453,28.274581,29.295292,29.295292
0.2535,0.4000,0.976475,0.833762,0.867249,0.238664,38.5840,44.0332,28.267405,29.292361,29.292361
0.2546,0.4000,0.974023,0.833762,0.867249,0.238664,38.5840,44.1211,28.260245,29.289443,29.289443
0.2557,0.4000,0.971574,0.833762,0.867249,0.238664,38.5840,44.2090,28.253102,29.286536,29.286536
0.2568,0.4000,0.969130,0.833762,0.867249,0.238664,38.5840,44.2969,28.245976,29.283642,29.283642
0.2579,0.4000,0.966689,0.833762,0.867249,0.238664,38.5840,44.3848,28.238867,29.280760,29.280760
0.2590,0.4000,0.964253,0.833762,0.867249,0.238664,38.5840,44.4727,28.231775,29.277889,29.277889
0.2602,0.4000,0.961821,0.833762,0.867249,0.238664,38.5840,44.5605,28.224700,29.275031,29.275031
0.2613,0.4000,0.959392,0.833762,0.867249,0.238664,38.5840,44.6484,28.217642,29.272184,29.272184
0.2624,0.4000,0.958673,0.833762,0.867249,0.238664,38.5840,44.6484,28.210594,29.269341,29.269341
0.2635,0.4000,0.956249,0.833762,0.867249,0.238664,38.5840,44.7363,28.203562,29.266510,29.266510
0.2646,0.4000,0.953830,0.833762,0.867249,0.238664,38.5840,44.8242,28.196547,29.263691,29.263691
0.2657,0.4000,0.953113,0.833762,0.867249,0.238664,38.5840,44.8242,28.189541,29.260876,29.260876
0.2668,0.4000,0.948486,0.833762,0.867249,0.238664,38.6719,44.9121,28.182574,29.258083,29.258083
0.2679,0.4000,0.946072,0.833762,0.867249,0.238664,38.6719,45.0000,28.175625,29.255302,29.255302
0.2690,0.4000,0.945361,0.833762,0.867249,0.238664,38.6719,45.0000,28.168684,29.252525,29.252525
0.2702,0.4000,0.939028,0.833762,0.867249,0.238664,38.7598,45.1758,28.161791,29.249778,29.249778
0.2713,0.4000,0.936085,0.833762,0.867249,0.238664,38.8477,45.1758,28.154928,29.247046,29.247046
