time_s,pose_id,converged,thumb_CMC1_act_rad,thumb_CMC2_act_rad,thumb_MCP_act_rad,thumb_IP_act_rad,spread_index_act_rad,spread_middle_act_rad,spread_ring_act_rad,spread_pinky_act_rad,index_MCP_act_rad,index_PIP_act_rad,index_DIP_act_rad,middle_MCP_act_rad,middle_PIP_act_rad,middle_DIP_act_rad,ring_MCP_act_rad,ring_PIP_act_rad,ring_DIP_act_rad,pinky_MCP_act_rad,pinky_PIP_act_rad,pinky_DIP_act_rad,thumb_CMC1_ref_rad,thumb_CMC2_ref_rad,thumb_MCP_ref_rad,thumb_IP_ref_rad,spread_index_ref_rad,spread_middle_ref_rad,spread_ring_ref_rad,spread_pinky_ref_rad,index_MCP_ref_rad,index_PIP_ref_rad,index_DIP_ref_rad,middle_MCP_ref_rad,middle_PIP_ref_rad,middle_DIP_ref_rad,ring_MCP_ref_rad,ring_PIP_ref_rad,ring_DIP_ref_rad,pinky_MCP_ref_rad,pinky_PIP_ref_rad,pinky_DIP_ref_rad
1.3667,1,0,0.954464,0.003474,0.821504,0.598173,-0.011965,-0.000000,0.011965,0.017948,0.906546,1.073787,1.073787,0.862711,1.118840,1.118840,0.895354,1.102637,1.102637,0.974630,1.084256,1.084256,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.4000,1,0,0.954464,-0.006949,0.815165,0.599502,-0.011709,-0.000000,0.011709,0.017564,0.935458,1.091378,1.091378,0.862711,1.137895,1.137895,0.893489,1.102637,1.102637,1.003543,1.084256,1.084256,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.4339,1,0,0.954464,-0.035613,0.808826,0.602161,-0.011658,-0.000000,0.011658,0.017487,0.949448,1.092785,1.092785,0.862711,1.145381,1.145381,0.893489,1.104044,1.104044,1.024061,1.085049,1.085049,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.4669,1,0,0.954464,-0.059935,0.803755,0.610136,-0.011658,-0.000000,0.011658,0.017487,0.953179,1.089971,1.089971,0.862711,1.144701,1.144701,0.892556,1.113895,1.113895,1.035253,1.091395,1.091395,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.5000,1,0,0.955604,-0.076438,0.799952,0.646027,-0.011658,-0.000000,0.011658,0.017487,0.952246,1.085045,1.085045,0.862711,1.144020,1.144020,0.901883,1.125857,1.125857,1.041782,1.109638,1.109638,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.5333,1,0,0.960732,-0.085993,0.799952,0.664636,-0.011863,-0.000000,0.011863,0.017794,0.951314,1.084341,1.084341,0.862711,1.141979,1.141979,0.938256,1.127265,1.127265,1.041782,1.115190,1.115190,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.5667,1,0,0.961872,-0.087730,0.799952,0.660649,-0.012783,-0.000000,0.012783,0.019175,0.950381,1.082934,1.082934,0.862711,1.131770,1.131770,0.970899,1.124450,1.124450,1.041782,1.112017,1.112017,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.6007,1,0,0.962442,-0.087730,0.799952,0.651344,-0.012630,-0.000000,0.012630,0.018945,0.966236,1.080119,1.080119,0.862711,1.121562,1.121562,0.993283,1.121635,1.121635,1.042714,1.108051,1.108051,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.6334,1,0,0.961872,-0.087730,0.803755,0.643368,-0.012221,-0.000000,0.012221,0.018331,0.984889,1.075194,1.075194,0.862711,1.113395,1.113395,1.005408,1.121635,1.121635,1.040849,1.106465,1.106465,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.6670,1,0,0.961872,-0.087730,0.826575,0.636722,-0.011965,-0.000000,0.011965,0.017948,0.996081,1.070972,1.070972,0.862711,1.105909,1.105909,1.008206,1.120932,1.120932,1.022196,1.105672,1.105672,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.7006,1,0,0.965291,-0.073833,0.851930,0.628746,-0.011863,-0.000000,0.011863,0.017794,0.997014,1.066750,1.066750,0.862711,1.100464,1.100464,1.007273,1.121635,1.121635,0.984889,1.104879,1.104879,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.7333,1,0,0.971559,-0.040825,0.849394,0.620770,-0.011812,-0.000000,0.011812,0.017717,0.997014,1.063935,1.063935,0.862711,1.096381,1.096381,1.006340,1.120932,1.120932,0.950381,1.104085,1.104085,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.7671,1,0,0.972129,-0.018241,0.841788,0.612795,-0.011812,-0.000000,0.011812,0.017717,0.996081,1.063232,1.063232,0.862711,1.094339,1.094339,1.004475,1.122339,1.122339,0.922401,1.103292,1.103292,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
