Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.2345,0.4000,0.977903,1.145037,1.149739,0.103874,44.8242,42.7148,0.482225,0.497618,0.497618
0.2356,0.4000,0.975906,1.145037,1.149739,0.103874,44.8242,42.8027,0.482134,0.497605,0.497605
0.2367,0.4000,0.976065,1.145037,1.149739,0.103874,44.7363,42.8906,0.482042,0.497592,0.497592
0.2378,0.4000,0.972345,1.145037,1.149739,0.103874,44.7363,43.0664,0.481951,0.497579,0.497579
0.2389,0.4000,0.970374,1.145037,1.149739,0.103874,44.7363,43.1543,0.481860,0.497566,0.497566
0.2400,0.4000,0.970569,1.145037,1.149739,0.103874,44.6484,43.2422,0.481768,0.497554,0.497554
0.2412,0.4000,0.966897,1.145037,1.149739,0.103874,44.6484,43.4180,0.481677,0.497542,0.497542
0.2422,0.4000,0.964952,1.145037,1.149739,0.103874,44.6484,43.5059,0.481586,0.497531,0.497531
0.2433,0.4000,0.965185,1.145037,1.149739,0.103874,44.5605,43.5937,0.481494,0.497519,0.497519
0.2445,0.4000,0.959874,1.145037,1.149739,0.103874,44.5605,43.8574,0.481403,0.497509,0.497509
0.2456,0.4000,0.960146,1.145037,1.149739,0.103874,44.4727,43.9453,0.481311,0.497498,0.497498
0.2467,0.4000,0.958242,1.145037,1.149739,0.103874,44.4727,44.0332,0.481219,0.497488,0.497488
0.2478,0.4000,0.958012,1.145037,1.149739,0.103874,44.4727,44.0332,0.481128,0.497477,0.497477
0.2489,0.4000,0.956114,1.145037,1.149739,0.103874,44.4727,44.1211,0.481036,0.497467,0.497467
0.2500,0.4000,0.954223,1.145037,1.149739,0.103874,44.4727,44.2090,0.480945,0.497458,0.497458
0.2512,0.4000,0.952883,1.145037,1.149739,0.103874,44.3848,44.3848,0.480853,0.497448,0.497448
0.2523,0.4000,0.951012,1.145037,1.149739,0.103874,44.3848,44.4727,0.480761,0.497439,0.497439
0.2533,0.4000,0.951351,1.145037,1.149739,0.103874,44.2969,44.5605,0.480669,0.497430,0.497430
0.2545,0.4000,0.951124,1.145037,1.149739,0.103874,44.2969,44.5605,0.480576,0.497421,0.497421
0.2556,0.4000,0.949269,1.145037,1.149739,0.103874,44.2969,44.6484,0.480484,0.497412,0.497412
0.2567,0.4000,0.949625,1.145037,1.149739,0.103874,44.2090,44.7363,0.480392,0.497403,0.497403
0.2578,0.4000,0.947785,1.145037,1.149739,0.103874,44.2090,44.8242,0.480299,0.497395,0.497395
0.2589,0.4000,0.947560,1.145037,1.149739,0.103874,44.2090,44.8242,0.480207,0.497387,0.497387
0.2600,0.4000,0.947935,1.145037,1.149739,0.103874,44.1211,44.9121,0.480114,0.497378,0.497378
0.2612,0.4000,0.946110,1.145037,1.149739,0.103874,44.1211,45.0000,0.480021,0.497370,0.497370
0.2622,0.4000,0.945885,1.145037,1.149739,0.103874,44.1211,45.0000,0.479928,0.497362,0.497362
0.2633,0.4000,0.947866,1.145037,1.149739,0.103874,44.0332,45.0000,0.479835,0.497354,0.497354
0.2645,0.4000,0.944468,1.145037,1.149739,0.103874,44.0332,45.1758,0.479742,0.497347,0.497347
0.2656,0.4000,0.946451,1.145037,1.149739,0.103874,43.9453,45.1758,0.479648,0.497339,0.497339
0.2667,0.4000,0.946224,1.145037,1.149739,0.103874,43.9453,45.1758,0.479554,0.497331,0.497331
0.2678,0.4000,0.944425,1.145037,1.149739,0.103874,43.9453,45.2637,0.479461,0.497324,0.497324
0.2689,0.4000,0.944199,1.145037,1.149739,0.103874,43.9453,45.2637,0.479367,0.497316,0.497316
0.2700,0.4000,0.946179,1.145037,1.149739,0.103874,43.8574,45.2637,0.479273,0.497309,0.497309
0.2712,0.4000,0.945951,1.145037,1.149739,0.103874,43.8574,45.2637,0.479179,0.497302,0.497302
0.2722,0.4000,0.949488,1.145037,1.149739,0.103874,43.7695,45.1758,0.479084,0.497294,0.497294
0.2733,0.4000,0.949257,1.145037,1.149739,0.103874,43.7695,45.1758,0.478989,0.497286,0.497286
0.2745,0.4000,0.949026,1.145037,1.149739,0.103874,43.7695,45.1758,0.478894,0.497279,0.497279
